LEA Code,LEA Name,School Code,School Name,Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Ungraded
1,District of Columbia Public Schools,206,Beers Elementary School,484,42,55,75,72,68,49,78,45,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,402,Benjamin Banneker High School,482,0,0,0,0,0,0,0,0,0,0,0,142,115,121,104,0,0
1,District of Columbia Public Schools,212,Brent Elementary School,425,32,34,72,62,64,64,53,44,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,213,Brightwood Education Campus,737,41,49,81,88,76,74,77,85,49,61,56,0,0,0,0,0,0
1,District of Columbia Public Schools,347,Brookland Middle School,238,0,0,0,0,0,0,0,0,66,75,97,0,0,0,0,0,0
1,District of Columbia Public Schools,404,Browne Education Campus,325,25,33,39,38,31,36,27,20,34,21,21,0,0,0,0,0,0
1,District of Columbia Public Schools,296,Bruce-Monroe Elementary School @ Park View,473,44,50,71,70,62,59,55,62,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,219,Bunker Hill Elementary School,200,22,33,27,23,23,28,21,23,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,220,Burroughs Elementary School,282,37,33,42,47,32,42,25,24,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,221,Burrville Elementary School,300,35,46,49,43,32,41,34,20,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,247,C.W. Harris Elementary School,278,18,37,33,38,40,24,42,46,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,1426,Canyon State Academy Rite of Passage Queen Creek AZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,365,54,53,50,41,41,34,29,20,6,17,20,0,0,0,0,0,0
1,District of Columbia Public Schools,454,Cardozo Education Campus,788,0,0,0,0,0,0,0,0,46,46,55,136,188,152,141,0,24
1,District of Columbia Public Schools,1050,Chelsea School Hyattsville MD,8,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0
1,District of Columbia Public Schools,1169,Childrens Guild Baltimore MD,12,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0
1,District of Columbia Public Schools,1020,Childrens Guild Prince Georges Chillum MD,6,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0
1,District of Columbia Public Schools,947,CHOICE Academy @ Wash Met,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,District of Columbia Public Schools,224,Cleveland Elementary School,317,33,46,37,38,44,43,45,31,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,442,Columbia Heights Education Campus,1240,0,0,0,0,0,0,0,0,103,88,91,234,245,235,238,0,6
1,District of Columbia Public Schools,3132,Community School of Maryland,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,District of Columbia Public Schools,455,Coolidge High School,310,0,0,0,0,0,0,0,0,0,0,0,108,57,76,60,0,9
1,District of Columbia Public Schools,1042,CSAAC Community School of Maryland Brookeville Brookeville MD,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
1,District of Columbia Public Schools,1213,Cumberland Hospital For Children and Adolescents Cumberland VA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,District of Columbia Public Schools,405,Deal Middle School,1475,0,0,0,0,0,0,0,0,484,537,454,0,0,0,0,0,0
1,District of Columbia Public Schools,1215,Devereux Florida Viera Campus Viera FL,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,District of Columbia Public Schools,1216,Devereux Georgia Treatment Network Kennesaw GA,4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
1,District of Columbia Public Schools,349,Dorothy I. Height Elementary School,479,64,79,61,61,57,50,64,43,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,231,Drew Elementary School,272,26,19,41,32,27,44,42,41,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,471,Duke Ellington School of the Arts,566,0,0,0,0,0,0,0,0,0,0,0,177,150,122,117,0,0
1,District of Columbia Public Schools,467,Dunbar High School,617,0,0,0,0,0,0,0,0,0,0,0,202,128,129,148,0,10
1,District of Columbia Public Schools,457,Eastern High School,769,0,0,0,0,0,0,0,0,0,0,0,186,199,166,196,0,22
1,District of Columbia Public Schools,232,Eaton Elementary School,476,0,36,73,75,73,78,73,68,0,0,0,0,0,0,0,0,0
1,District of Columbia Public Schools,407,Eliot-Hine Middle School,203,0,0,0,0,0,0,0,0,71,69,63,0,0,0,0,0,0
1,District of Columbia Public Schools,1044,Episcopal Center for Children DC,14,0,0,0,0,0,3,3,2,3,1,2,0,0,0,0,0,0
1,District of Columbia Public Schools,1331,Florida Institute for Neurologic Rehabilitation Wauchula FL,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
